WinISI II Calibration Export - synthetic
Number of samples: 50
Number of wavelengths: 200
Wavelength range (nm): 1100-2500

Wavelengths:
1100.0 1107.0 1114.1 1121.1 1128.1 1135.2 1142.2 1149.2 1156.3 1163.3 1170.4 1177.4 1184.4 1191.5 1198.5 1205.5 1212.6 1219.6 1226.6 1233.7 1240.7 1247.7 1254.8 1261.8 1268.8 1275.9 1282.9 1289.9 1297.0 1304.0 1311.1 1318.1 1325.1 1332.2 1339.2 1346.2 1353.3 1360.3 1367.3 1374.4 1381.4 1388.4 1395.5 1402.5 1409.5 1416.6 1423.6 1430.7 1437.7 1444.7 1451.8 1458.8 1465.8 1472.9 1479.9 1486.9 1494.0 1501.0 1508.0 1515.1 1522.1 1529.1 1536.2 1543.2 1550.3 1557.3 1564.3 1571.4 1578.4 1585.4 1592.5 1599.5 1606.5 1613.6 1620.6 1627.6 1634.7 1641.7 1648.7 1655.8 1662.8 1669.8 1676.9 1683.9 1691.0 1698.0 1705.0 1712.1 1719.1 1726.1 1733.2 1740.2 1747.2 1754.3 1761.3 1768.3 1775.4 1782.4 1789.4 1796.5 1803.5 1810.6 1817.6 1824.6 1831.7 1838.7 1845.7 1852.8 1859.8 1866.8 1873.9 1880.9 1887.9 1895.0 1902.0 1909.0 1916.1 1923.1 1930.2 1937.2 1944.2 1951.3 1958.3 1965.3 1972.4 1979.4 1986.4 1993.5 2000.5 2007.5 2014.6 2021.6 2028.6 2035.7 2042.7 2049.7 2056.8 2063.8 2070.9 2077.9 2084.9 2092.0 2099.0 2106.0 2113.1 2120.1 2127.1 2134.2 2141.2 2148.2 2155.3 2162.3 2169.3 2176.4 2183.4 2190.5 2197.5 2204.5 2211.6 2218.6 2225.6 2232.7 2239.7 2246.7 2253.8 2260.8 2267.8 2274.9 2281.9 2288.9 2296.0 2303.0 2310.1 2317.1 2324.1 2331.2 2338.2 2345.2 2352.3 2359.3 2366.3 2373.4 2380.4 2387.4 2394.5 2401.5 2408.5 2415.6 2422.6 2429.6 2436.7 2443.7 2450.8 2457.8 2464.8 2471.9 2478.9 2485.9 2493.0 2500.0

Sample_ID Protein P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50 P51 P52 P53 P54 P55 P56 P57 P58 P59 P60 P61 P62 P63 P64 P65 P66 P67 P68 P69 P70 P71 P72 P73 P74 P75 P76 P77 P78 P79 P80 P81 P82 P83 P84 P85 P86 P87 P88 P89 P90 P91 P92 P93 P94 P95 P96 P97 P98 P99 P100 P101 P102 P103 P104 P105 P106 P107 P108 P109 P110 P111 P112 P113 P114 P115 P116 P117 P118 P119 P120 P121 P122 P123 P124 P125 P126 P127 P128 P129 P130 P131 P132 P133 P134 P135 P136 P137 P138 P139 P140 P141 P142 P143 P144 P145 P146 P147 P148 P149 P150 P151 P152 P153 P154 P155 P156 P157 P158 P159 P160 P161 P162 P163 P164 P165 P166 P167 P168 P169 P170 P171 P172 P173 P174 P175 P176 P177 P178 P179 P180 P181 P182 P183 P184 P185 P186 P187 P188 P189 P190 P191 P192 P193 P194 P195 P196 P197 P198 P199 P200
S021 13.032 -0.06290 -0.11808 -0.06406 -0.07988 0.08724 -0.07557 0.07407 -0.24541 0.03203 -0.10458 -0.07677 -0.00995 0.17503 -0.19944 0.05007 0.12182 0.24245 -0.03423 0.00737 -0.17191 -0.20042 0.14975 0.04086 0.12937 -0.07219 0.14044 0.26068 0.06578 0.09652 0.14010 -0.11881 0.15557 0.15789 0.24007 0.06006 0.03752 0.41408 0.23794 0.35075 0.37390 0.15987 0.43045 0.30695 0.37614 0.45937 0.30367 0.46648 0.75500 0.45983 0.44880 0.55036 0.48965 0.50037 0.37836 0.45875 0.49607 0.41811 0.65923 0.37117 0.22217 0.49702 0.19671 0.33114 0.18249 0.15776 0.23332 0.16133 -0.04454 0.02413 0.17898 0.06931 0.02284 -0.02117 -0.05206 -0.10685 0.06559 0.00897 0.00817 -0.03082 0.04247 0.32618 -0.13525 0.00521 0.11952 -0.03538 -0.07021 0.06694 0.03574 0.22828 0.11955 0.06741 -0.00354 -0.08865 0.15491 0.25122 -0.02289 0.02318 0.26886 0.19362 0.22269 0.25007 0.17198 0.16308 0.40736 0.21298 0.15576 0.42565 0.50293 0.53282 0.51765 0.57841 0.42680 0.61219 0.74534 0.59353 0.76351 0.51525 0.73623 0.71564 0.65657 0.63756 0.59268 0.72687 0.61030 0.53803 0.71555 0.62313 0.62304 0.69954 0.46241 0.66368 0.47143 0.57187 0.48913 0.41932 0.40497 0.19094 0.40877 0.07714 0.21763 0.41525 0.26071 0.45997 0.28746 0.04568 0.11015 0.12202 -0.08085 -0.05139 0.09379 -0.14659 0.09341 0.07244 -0.10976 0.20820 0.12337 0.15999 0.12473 0.22563 0.19988 0.30078 0.21218 0.28214 0.47232 0.30245 0.51048 0.28493 0.44897 0.33826 0.37784 0.15307 0.26988 0.19347 0.26675 0.27590 0.35203 0.00890 0.30657 0.17315 -0.01223 0.09018 0.06836 -0.03632 0.15857 -0.05449 -0.06056 -0.09249 -0.08124 -0.06137 0.02481 0.12670 0.09602 0.04317 0.05403 0.09670 -0.17091 -0.10403 -0.15311 0.17085 0.12303
S022 11.301 0.10499 0.16790 -0.10856 -0.01227 -0.01494 0.04127 -0.00296 0.01855 0.04630 0.09596 -0.07038 0.03559 -0.13714 -0.35683 0.04729 0.11514 0.05486 -0.21877 -0.08132 -0.18372 0.16096 -0.09368 0.24305 0.07983 0.03861 -0.06317 0.00179 -0.02334 0.14143 0.03154 -0.13716 -0.09816 0.13310 0.14360 0.18198 0.24025 0.33157 0.28702 0.22690 0.32744 0.16425 0.42541 0.48154 0.46841 0.26268 0.47523 0.35435 0.41577 0.58303 0.66133 0.43319 0.49804 0.66520 0.41682 0.57749 0.61068 0.35914 0.32352 0.30193 0.43945 0.50408 0.53872 0.40160 0.36335 0.18733 0.06631 0.27298 0.14817 0.11524 0.14965 0.09303 0.19576 0.20052 0.14215 0.18981 0.07779 0.06359 0.16042 -0.08012 0.14481 -0.07286 0.11869 0.00873 0.15663 0.03688 -0.08867 0.15836 -0.03254 0.13725 0.07598 0.17097 0.04932 0.04324 0.00840 0.24525 0.28830 0.03229 0.25421 0.03304 0.20777 0.19200 0.18928 0.24382 0.33704 0.40809 0.47173 0.56265 0.49837 0.55095 0.55530 0.54687 0.75820 0.54937 0.49507 0.57321 0.66621 0.61567 0.73349 0.82301 0.55486 0.75082 0.81580 0.70580 0.89786 0.77049 0.80791 0.48028 0.60978 0.58792 0.45473 0.57650 0.55528 0.51556 0.38041 0.49180 0.34612 0.42261 0.24894 0.28320 0.19071 0.16244 0.40854 -0.02568 0.13986 0.25953 0.18047 0.07256 0.11857 0.07893 0.03975 0.29042 0.17433 0.08143 -0.09364 0.10185 0.12800 -0.04883 0.21314 0.19340 0.36996 0.15138 0.47214 0.11148 0.46581 0.41703 0.28567 0.47841 0.36780 0.67206 0.41739 0.38555 0.34620 0.37590 0.33092 0.17534 0.30065 0.15814 0.39002 0.18088 0.31279 0.10566 -0.06631 -0.03855 0.23188 -0.01062 0.19772 0.08032 0.17931 -0.07387 -0.16286 -0.06872 -0.00501 0.08561 -0.21898 0.03102 0.00152 -0.06086 0.10004 0.14447 0.14230
S023 11.466 -0.12075 0.06779 0.16843 0.22356 -0.05761 -0.07122 0.08674 0.04783 0.13160 -0.14075 -0.11191 -0.27077 -0.01611 0.05732 0.02022 -0.07207 0.14392 -0.26564 0.04048 0.06402 -0.04201 0.15101 -0.01950 0.15167 0.08277 0.28622 -0.02686 -0.04438 0.21830 0.11225 -0.00871 0.04485 0.18034 0.36312 0.12134 -0.09560 0.37409 0.11706 0.08424 0.09536 0.50694 0.48058 0.37356 0.62719 0.52162 0.63248 0.43876 0.50012 0.39262 0.53047 0.46829 0.65449 0.56879 0.48797 0.59416 0.66840 0.49352 0.27992 0.42714 0.33075 0.51529 0.34519 0.17383 0.31310 0.34785 0.27520 0.17718 0.33985 0.00213 0.10729 0.25854 0.00386 0.10062 -0.17509 0.13258 -0.05835 0.10211 0.17693 0.16595 0.10813 0.03148 -0.11524 0.16387 0.08170 -0.04469 0.13035 -0.00982 -0.01470 -0.19488 0.01890 0.08103 0.19316 0.21749 0.10719 0.15779 0.11562 0.18778 0.30681 0.28630 0.28941 0.22652 0.21831 0.45218 0.45634 0.51827 0.32446 0.63714 0.42260 0.70867 0.57453 0.55589 0.62688 0.76032 0.75881 0.74822 0.68529 0.94410 0.88431 0.79939 0.79816 0.75753 0.78813 0.84530 0.73299 0.72673 0.49059 0.59157 0.57396 0.77671 0.65427 0.50459 0.50043 0.46211 0.51155 0.54141 0.46336 0.30186 0.33461 0.24157 0.34000 0.31783 0.31658 0.24434 0.27977 0.34388 0.10443 0.13336 0.01511 0.03606 0.10357 0.20628 -0.00940 0.10275 0.06630 0.10390 0.15075 -0.09674 0.27331 0.11405 0.33091 0.02463 0.35896 0.41758 0.36287 0.29107 0.40443 0.27347 0.39227 0.50675 0.54609 0.38180 0.25190 0.51894 0.38285 -0.02825 0.29958 0.23221 0.32345 -0.02995 -0.13524 0.16778 0.12983 -0.04293 -0.03172 0.32980 0.07017 0.14423 -0.09606 -0.16988 -0.04527 0.00188 -0.01410 -0.07935 0.02112 -0.00128 -0.14794 0.06451 -0.15455 -0.20651 0.08518
S024 11.662 0.11991 0.01797 -0.12943 -0.11859 0.00743 -0.14286 -0.00941 0.06801 0.05251 -0.12613 0.11355 -0.21840 0.08982 -0.07197 0.02598 -0.02488 0.09492 -0.08028 0.04374 -0.03357 -0.01560 -0.00914 -0.01285 0.02372 0.08365 0.14810 0.10800 0.17451 0.18944 0.03338 0.20265 0.05977 0.23825 0.21397 0.04641 0.23075 0.18999 0.16858 0.43831 0.30619 0.31208 0.39934 0.49729 0.47116 0.55177 0.45829 0.32361 0.40906 0.40637 0.46003 0.26896 0.67379 0.50884 0.52717 0.62333 0.65395 0.51288 0.46178 0.37231 0.36055 0.26252 0.21367 0.13982 0.17698 0.24765 0.07630 0.26540 0.11507 0.13655 -0.02562 0.56941 0.21842 0.00436 0.02700 0.04507 0.03954 -0.09533 0.02939 -0.04197 0.01625 0.12721 0.20828 -0.05591 0.06686 0.12670 0.02456 -0.11251 0.22016 0.20769 0.06967 -0.00259 0.07154 0.10862 0.08779 0.04681 0.16047 -0.02449 0.08781 0.27988 0.31749 0.20088 0.13908 0.22810 0.41037 0.46013 0.49778 0.43960 0.35806 0.63071 0.45627 0.54908 0.68616 0.72281 0.66586 0.52514 0.66730 0.75869 0.67077 0.86734 0.82682 0.88429 0.72837 0.75617 0.81336 0.71390 0.73638 0.60295 0.66651 0.47925 0.53311 0.70760 0.27106 0.68160 0.54109 0.32155 0.45822 0.30117 0.47699 0.33776 0.11631 0.23372 0.34294 0.12511 0.10608 0.39101 0.29735 0.09460 -0.03670 0.13055 0.18216 0.12196 0.22205 0.14932 0.14156 0.19323 0.03821 0.06492 0.24839 0.16299 0.25249 0.20603 0.21114 0.24898 0.31746 0.35205 0.33120 0.23683 0.49054 0.35819 0.62063 0.58272 0.41218 0.27681 0.14492 0.09146 0.09144 0.29303 0.17308 0.21492 -0.10079 0.03649 0.10208 0.10732 -0.03710 0.09049 0.22161 -0.01804 0.04469 -0.02183 0.16060 -0.17911 0.15742 -0.06010 0.11851 -0.06313 -0.07143 0.01471 0.31216 0.06063 -0.15043
S025 13.719 -0.12704 -0.08762 -0.16979 -0.03321 0.04839 -0.11708 0.15719 0.06896 -0.07882 0.03317 0.11309 0.06380 -0.00690 -0.08258 -0.00931 -0.14965 -0.10799 0.16624 0.10625 0.05626 0.04082 -0.07492 0.02046 -0.09204 0.30428 -0.03203 -0.05806 0.00803 0.13945 0.13410 0.05505 0.35077 0.25480 0.20572 0.20239 0.53418 0.39963 0.21447 0.48117 0.39483 0.44139 0.25626 0.30835 0.39134 0.46658 0.65950 0.29781 0.43652 0.62765 0.51441 0.69511 0.60436 0.60329 0.57222 0.39839 0.43149 0.58906 0.39696 0.49244 0.29096 0.39038 0.37401 0.31180 0.24474 0.32077 0.19620 0.23707 0.32327 0.24525 0.17429 -0.01675 0.05160 0.10032 -0.11350 0.06527 0.03952 0.01786 0.24974 0.01899 0.18961 -0.03647 0.07849 0.04033 -0.08145 0.15969 0.29254 0.03868 0.03369 0.05570 -0.04720 -0.12157 0.03893 0.00222 0.40026 0.12153 0.18490 0.30759 0.18035 0.20588 0.23776 0.32721 0.40664 0.37089 0.36377 0.41477 0.49987 0.47763 0.52273 0.49337 0.60588 0.52063 0.95236 0.62934 0.57262 0.70257 0.84765 0.88012 0.73736 0.58387 0.84373 0.46739 0.84393 0.77661 0.71772 0.76040 0.63594 0.71587 0.58694 0.66401 0.72555 0.58356 0.65316 0.68136 0.57550 0.31301 0.46182 0.42633 0.50399 0.24557 0.14078 0.19893 0.25403 0.31258 0.14592 0.32861 0.20547 0.14172 0.10473 0.13536 0.02760 0.33095 0.04929 0.14208 0.02113 0.04671 0.11954 0.24202 0.52137 0.22572 0.15292 0.22539 0.12418 0.34381 0.39990 0.50218 0.54284 0.52545 0.43190 0.42239 0.30852 0.49974 0.32567 0.35344 0.32655 0.31629 0.42293 0.10947 0.05122 0.15509 0.19400 0.09028 -0.02284 0.05535 0.07768 0.16396 -0.17336 -0.03735 0.02904 -0.08264 0.16298 -0.07037 -0.02219 0.09976 -0.04862 -0.07133 -0.03454 0.07557 0.09994 -0.06391 0.14210
S026 12.194 -0.00343 -0.01981 0.04181 0.02209 0.25671 0.01672 0.10760 -0.08641 -0.08407 0.02383 0.03598 -0.09185 -0.04567 0.02982 0.08595 0.10893 -0.02159 -0.11864 -0.07669 -0.05357 0.25699 -0.02261 0.02060 0.03306 0.35626 0.01471 0.06853 0.06966 0.13793 0.20055 0.30645 0.23625 0.07585 0.01149 0.17377 0.33220 0.13108 0.42265 0.35138 0.38408 0.40048 0.35649 0.44393 0.44863 0.57629 0.58721 0.54062 0.40103 0.58346 0.62998 0.42511 0.44893 0.38001 0.37948 0.39446 0.38086 0.31193 0.37897 0.13426 0.64782 0.51414 0.24207 0.36035 0.26927 0.37139 0.17990 0.15127 0.09599 0.01657 0.19393 0.31526 0.29989 -0.06782 0.04512 0.09521 0.11809 -0.12385 -0.08916 -0.00994 0.05861 0.10047 0.12091 0.11311 0.06818 0.18237 0.01171 -0.06810 0.23479 -0.02284 0.12950 0.32397 0.07867 -0.13356 -0.01324 0.20995 0.17727 0.18666 0.28519 0.37275 0.26551 0.31824 0.37409 0.42334 0.48397 0.38601 0.61068 0.39728 0.35354 0.45712 0.44089 0.55942 0.75248 0.62110 0.68720 0.60228 0.68294 0.55125 0.68266 0.65849 0.81940 0.75542 0.68586 0.78561 0.73207 0.83380 0.65739 0.62071 0.62167 0.61486 0.50944 0.53186 0.52752 0.45537 0.61954 0.43046 0.42506 0.36759 0.21754 0.30479 0.40516 0.07179 0.22732 0.09018 0.18077 0.06176 0.36042 0.11367 -0.05917 -0.12168 0.13637 0.19809 0.11167 0.11021 0.18131 0.13544 0.20419 -0.07001 0.03615 0.01539 0.23079 0.18261 0.39255 0.34491 0.28654 0.36121 0.26026 0.55529 0.45659 0.38815 0.62761 0.26929 0.29004 0.21457 0.38547 0.29704 0.31615 0.46299 -0.05644 0.25043 0.05241 0.10924 -0.02666 -0.02436 0.17299 0.13699 0.02427 0.14335 -0.08079 -0.15833 -0.18352 -0.10517 0.02385 -0.04821 -0.01741 -0.14474 0.17133 0.02916 0.15613 -0.17821 0.01182
S027 11.913 -0.04177 -0.01783 0.02138 0.03275 -0.09962 -0.09860 -0.10604 0.17022 0.07199 0.13381 -0.06393 -0.00903 -0.03181 0.17235 -0.06944 0.06109 -0.06763 -0.16246 -0.12384 -0.06560 0.04985 -0.06838 0.12614 0.10042 0.06612 0.08420 0.12599 0.02470 0.03441 -0.12844 0.10131 0.13875 0.12143 0.13296 0.27005 0.20841 0.32654 0.31307 0.32494 0.31524 0.23191 0.30142 0.35095 0.37050 0.45858 0.60084 0.37367 0.69035 0.49396 0.39422 0.47050 0.43653 0.62983 0.43103 0.68256 0.62847 0.44202 0.39133 0.29410 0.40998 0.42800 0.45179 0.34867 0.18740 0.05603 0.19818 0.23778 0.23230 0.16281 0.22294 0.24395 0.06344 0.06051 0.11240 0.01745 0.24804 0.05980 0.04577 -0.01345 0.09576 0.11281 0.02050 0.02112 0.09341 -0.20503 0.09201 0.01843 0.13262 0.06242 0.09045 0.07643 0.12860 0.05929 0.43650 0.24779 -0.03646 0.17337 0.16461 -0.02173 0.30597 0.36379 0.33075 0.32350 0.22041 0.35211 0.52204 0.32021 0.23630 0.42027 0.56165 0.45915 0.67328 0.74914 0.63455 0.83662 0.60386 0.59663 0.77694 0.46093 0.57573 0.65662 0.53732 0.89166 0.66196 0.56678 0.68965 0.67948 0.57454 0.47686 0.66195 0.70030 0.48289 0.64093 0.51304 0.41993 0.66460 0.27008 0.27443 0.18554 0.39203 0.43084 0.32425 0.26262 0.21989 0.11349 0.00928 0.28000 0.09035 0.01423 0.21842 -0.03973 0.19344 0.08064 0.24999 0.11648 -0.14975 0.19418 0.18545 0.19090 0.25071 0.24662 0.34675 0.21103 0.41030 0.38533 0.50513 0.51984 0.43682 0.41166 0.31339 0.46032 0.34544 0.27698 0.31336 0.16660 0.09705 0.27236 0.18027 0.05266 0.08338 0.27874 0.17703 0.21044 0.20389 0.13188 -0.02120 -0.14557 -0.24171 0.18289 0.13240 -0.17774 -0.02536 -0.07330 0.07522 0.21349 -0.19301 -0.00172 -0.08593 0.02129 0.06989
S028 12.373 -0.04607 0.02862 0.00195 0.09929 -0.00311 -0.00185 -0.24832 -0.02570 0.09169 0.01389 0.09212 0.19724 0.10008 0.01407 -0.11824 -0.28051 -0.00906 -0.06259 0.09077 -0.03721 -0.00718 -0.15451 -0.03478 0.11974 0.23942 -0.07478 0.14106 0.22976 -0.03614 0.12991 -0.02340 0.09954 0.10542 0.14821 0.06884 0.20823 0.37888 0.12808 0.17973 0.32548 0.41057 0.38300 0.11399 0.50875 0.42357 0.23461 0.36297 0.54892 0.60906 0.45319 0.40023 0.46366 0.39436 0.51544 0.30668 0.26433 0.52961 0.29575 0.48443 0.26259 0.23374 0.17523 0.19621 0.14010 0.09077 -0.00090 0.16365 0.14057 0.02607 0.26430 0.34630 0.04865 0.04701 0.29734 -0.04428 -0.00048 0.02139 0.20383 0.10748 0.00635 -0.12218 -0.03100 -0.06624 -0.00901 0.04384 -0.23377 0.12734 -0.02841 -0.21502 -0.02436 0.10984 -0.09071 0.20620 0.08018 0.31498 0.20622 0.11875 -0.03322 0.11372 0.28138 0.26556 0.25333 0.24591 0.29602 0.37467 0.19882 0.53302 0.41355 0.41305 0.65796 0.51822 0.42039 0.60550 0.54098 0.59565 0.58081 0.60821 0.61219 0.69176 0.39654 0.62774 0.75286 0.59100 0.54454 0.52591 0.39138 0.31544 0.48876 0.45217 0.46328 0.40136 0.46526 0.57416 0.30065 0.38357 0.29524 0.31371 0.45892 0.17074 0.23865 0.22450 0.05001 0.20888 -0.00831 -0.11273 0.18526 0.00909 0.05888 0.14470 -0.07789 -0.04567 -0.01972 0.19704 -0.06944 0.04909 0.00274 0.12946 0.16900 0.02425 0.28187 0.23576 0.24183 0.10611 0.19163 0.26545 0.26097 0.44390 0.33828 0.27627 0.26505 0.49040 0.27380 0.37045 0.20951 0.36238 -0.00910 0.26154 0.14867 0.11729 0.20710 0.00104 -0.07731 0.17909 0.16612 -0.04552 0.06400 0.09819 0.18753 -0.17042 0.08497 -0.17503 -0.30796 0.00990 0.08311 -0.02457 0.08613 0.34685 -0.05799 0.05361 -0.10758
S029 13.458 -0.00386 0.20019 0.00996 0.22507 0.08673 0.09240 -0.17510 0.05846 0.36263 -0.09610 0.05609 0.09571 -0.02301 -0.06495 -0.26782 0.17737 0.02069 0.02626 -0.01571 0.06253 -0.00065 -0.05039 -0.09350 0.12311 -0.00569 -0.10989 0.05630 0.10629 0.04649 0.26410 0.07989 0.14370 0.10530 0.21252 0.22172 0.19663 0.05687 0.49194 0.17378 0.27590 0.39307 0.35680 0.27567 0.28618 0.67001 0.46155 0.88550 0.53498 0.51973 0.50858 0.62348 0.45239 0.57844 0.41641 0.50282 0.28943 0.22398 0.35892 0.43391 0.35150 0.55664 0.50423 0.21522 0.06823 0.27065 0.16115 0.19866 0.10312 0.04389 0.08301 0.00611 0.09392 0.13277 0.00851 0.11081 -0.04463 -0.14410 0.04706 -0.03777 0.03934 -0.13774 0.23230 0.16141 -0.13699 -0.15419 0.21844 -0.02751 -0.05210 -0.21420 0.04497 0.05162 0.21465 0.01779 0.04494 0.14329 0.30290 0.01148 0.27663 0.23806 0.44619 0.28727 0.16962 0.38764 0.49445 0.41017 0.45881 0.44495 0.34575 0.75579 0.51840 0.64590 0.71715 0.84506 0.78959 0.68991 0.70927 0.89705 0.56204 0.78396 0.71292 0.83992 0.81278 0.82294 0.83813 0.55868 0.70406 0.75445 0.75497 0.88237 0.61906 0.51924 0.62700 0.54970 0.27411 0.67533 0.48106 0.43888 0.26752 0.36170 0.50933 0.20634 0.30998 0.19042 0.09070 0.18606 0.18184 0.09570 0.23445 -0.11433 -0.01271 0.13535 0.08007 0.01021 0.20606 0.22389 0.19744 0.16554 0.25774 0.19709 0.43718 0.13778 0.48823 0.35743 0.32422 0.51380 0.47897 0.51292 0.58220 0.56528 0.42734 0.46807 0.38068 0.51102 0.13700 0.29518 0.16443 0.43131 0.30601 0.18473 0.30154 0.04365 0.22958 0.21883 0.03569 0.20885 -0.05765 0.02065 0.08891 0.08292 -0.09320 0.02351 0.09556 -0.12665 0.10880 0.11057 0.02002 0.08029 -0.12636 0.05633 -0.06537
S030 13.499 -0.15565 -0.07617 -0.09188 -0.02154 -0.06666 0.01814 0.00194 -0.23396 0.17895 -0.09055 -0.08194 0.02240 0.04129 0.08595 0.05309 -0.04362 0.21492 -0.01814 -0.01777 0.18230 0.12836 -0.03704 0.33367 0.02190 0.05964 0.03910 0.08504 -0.04206 -0.14934 -0.01702 -0.09937 0.13836 0.23088 0.14849 0.11578 0.23906 0.36540 0.11810 0.41580 0.40895 0.52150 0.61232 0.64486 0.52079 0.53335 0.50854 0.47133 0.63319 0.45298 0.53929 0.69119 0.76916 0.57624 0.60372 0.58326 0.80172 0.45023 0.60822 0.69945 0.51704 0.45958 0.41306 0.34833 0.64799 0.28951 0.25140 0.09913 0.29742 0.24106 0.13176 0.24011 -0.05140 0.18492 0.19838 0.27851 -0.04673 -0.10976 -0.08730 -0.04754 0.10904 0.22341 0.01281 0.19963 0.05339 0.10045 0.07254 0.09636 -0.01780 0.10731 0.02304 0.11984 0.01753 0.05838 0.06325 0.14608 0.25341 0.12249 0.23113 0.23196 0.21910 0.22022 0.36520 0.34242 0.44399 0.45612 0.66996 0.73195 0.42026 0.64677 0.61400 0.74018 0.60922 0.82635 0.61681 0.71032 0.71613 0.88870 0.69242 0.85566 0.78379 0.73163 0.86992 0.70830 0.67796 0.93195 0.64578 0.93967 0.83310 0.54806 0.53430 0.61968 0.49551 0.76731 0.47160 0.33200 0.42174 0.55365 0.31165 0.35349 0.43871 0.28810 0.21711 0.24958 0.25126 0.23528 0.15124 0.15313 0.13108 -0.00484 0.05897 0.22327 -0.00797 0.11396 -0.02449 0.17725 0.14823 0.10668 0.09230 0.28393 0.10427 0.24814 0.53624 0.22748 0.20181 0.64389 0.35653 0.65661 0.41137 0.52709 0.51805 0.42397 0.53199 0.29822 0.28919 0.28208 0.20003 0.18306 0.10499 0.32627 0.21301 0.20962 0.08125 -0.07690 0.29673 0.11909 -0.05141 0.03289 0.15929 -0.05147 0.09926 0.16174 -0.11164 -0.12641 0.02211 -0.26832 0.04245 -0.08648 -0.04201 0.07062 -0.04104
S031 11.236 -0.06212 -0.23804 0.20689 0.22944 -0.03788 0.11689 -0.01657 0.06563 -0.00526 -0.17944 0.11170 0.05195 -0.09330 -0.14086 -0.14408 -0.28864 0.05780 -0.11310 0.06200 0.19092 0.11617 0.01010 0.04136 0.26320 0.10112 0.06251 -0.10917 0.04730 0.14831 0.02796 0.06362 0.00657 0.13037 -0.12466 0.13331 0.26323 0.21864 0.29629 0.11314 0.28278 0.31678 0.25405 0.47000 0.39437 0.28149 0.41563 0.47237 0.56449 0.21859 0.47583 0.36489 0.44063 0.61056 0.51317 0.35134 0.12696 0.42647 0.24963 0.21965 0.28248 0.38140 0.32349 0.19930 0.24280 0.10169 0.11155 0.29823 0.16463 0.22456 0.06390 -0.04712 0.15545 0.06484 0.01064 0.02728 0.04184 0.07896 0.08780 -0.04634 -0.03047 0.03851 0.05115 0.10114 0.16897 0.01367 -0.03564 -0.07756 0.19137 0.24517 0.03399 -0.03432 0.24578 0.17923 0.01284 0.01494 0.18431 0.05049 0.01416 0.15061 0.22470 0.19130 0.16307 0.33843 0.45825 0.13807 0.47363 0.30299 0.52676 0.29857 0.38972 0.48317 0.52152 0.37203 0.59874 0.62542 0.60742 0.82752 0.58745 0.64326 0.55875 0.68459 0.47273 0.55672 0.75681 0.56950 0.36886 0.42293 0.58164 0.67894 0.49518 0.59939 0.35016 0.32267 0.33874 0.42335 0.32622 0.30829 0.20008 0.22123 0.24469 0.07214 0.19107 0.11837 0.02891 0.15364 0.13525 0.08973 0.18932 -0.06963 0.02703 0.42815 -0.03126 -0.04148 0.13391 -0.20104 0.11961 0.36935 0.00856 -0.05833 0.05312 0.33394 0.42016 0.25196 0.35096 0.37593 0.50762 0.32292 0.14762 0.32900 0.29041 0.40511 0.20162 0.41891 0.34770 0.11950 0.30263 0.13682 0.14455 0.21284 0.16046 0.20748 -0.03856 -0.00104 0.07281 0.04725 0.07804 -0.05075 -0.19815 0.11400 0.15322 -0.21991 0.03268 -0.23418 -0.05683 -0.05648 0.00874 0.00161 -0.09269 -0.05864 -0.07659
